league,pitch_type,venue_avg,innings,pp_runs,pp_wickets,pp_run_rate,pp_fours,pp_sixes,pp_dot_balls,pp_boundary_pct,pp_dot_pct,wickets_in_hand,final_score,final_wickets
T20 Blast,1,166,2,43,3,7.17,5,2,14,19.4,38.9,7,112,7
BPL,2,150,1,47,0,7.83,5,0,19,13.9,52.8,10,139,3
BPL,1,173,2,50,1,8.33,4,1,18,13.9,50.0,9,149,6
CPL,0,156,1,40,2,6.67,5,1,19,16.7,52.8,8,105,7
Super Smash,1,161,2,56,1,9.33,5,3,21,22.2,58.3,9,164,7
BPL,2,150,1,47,3,7.83,6,1,17,19.4,47.2,7,125,5
SA20,0,153,2,54,2,9.0,7,1,17,22.2,47.2,8,147,4
T20I,1,163,1,43,4,7.17,5,0,18,13.9,50.0,6,108,9
BPL,0,158,2,48,1,8.0,5,1,20,16.7,55.6,9,120,6
T20 World Cup,1,151,1,59,2,9.83,4,0,21,11.1,58.3,8,155,7
SA20,1,178,2,53,1,8.83,6,3,16,25.0,44.4,9,169,4
T20 World Cup,1,178,1,58,1,9.67,8,2,20,27.8,55.6,9,170,5
MLC,0,170,2,45,3,7.5,4,2,22,16.7,61.1,7,112,7
T20 World Cup,1,161,1,48,2,8.0,4,3,19,19.4,52.8,8,133,4
Super Smash,1,175,2,53,2,8.83,7,2,18,25.0,50.0,8,145,8
CPL,2,173,1,34,5,5.67,2,0,20,5.6,55.6,5,92,7
T20I,1,181,2,60,3,10.0,8,2,17,27.8,47.2,7,181,8
T20 World Cup,0,165,1,51,1,8.5,5,1,18,16.7,50.0,9,150,6
T20 Blast,2,150,2,51,1,8.5,7,0,18,19.4,50.0,9,153,3
T20 Blast,1,148,1,32,3,5.33,2,0,16,5.6,44.4,7,68,6
BBL,1,179,2,71,2,11.83,5,4,22,25.0,61.1,8,228,7
IPL,0,179,1,38,4,6.33,3,1,21,11.1,58.3,6,98,8
PSL,1,169,2,52,1,8.67,7,2,19,25.0,52.8,9,157,4
T20 World Cup,2,173,1,31,6,5.17,3,0,7,8.3,19.4,4,83,8
Super Smash,2,152,2,52,2,8.67,5,0,14,13.9,38.9,8,152,7
CPL,1,152,1,31,4,5.17,4,1,15,13.9,41.7,6,88,7
T20I,2,169,2,49,2,8.17,7,1,15,22.2,41.7,8,149,8
PSL,2,152,1,44,2,7.33,3,1,14,11.1,38.9,8,133,4
BPL,1,175,2,53,0,8.83,7,2,22,25.0,61.1,10,157,2
PSL,2,140,1,37,4,6.17,5,1,20,16.7,55.6,6,115,8
BPL,1,162,2,51,1,8.5,6,0,19,16.7,52.8,9,146,6
ILT20,0,151,1,46,1,7.67,4,1,21,13.9,58.3,9,135,6
PSL,1,152,2,61,1,10.17,5,0,18,13.9,50.0,9,193,7
PSL,1,181,1,50,2,8.33,6,0,21,16.7,58.3,8,158,8
LPL,0,157,2,44,1,7.33,3,2,18,13.9,50.0,9,102,3
MLC,2,170,1,51,4,8.5,6,1,10,19.4,27.8,6,136,10
MLC,0,154,2,40,1,6.67,4,0,21,11.1,58.3,9,92,4
MLC,2,144,1,58,1,9.67,5,0,18,13.9,50.0,9,186,6
T20 World Cup,0,175,2,42,0,7.0,3,1,22,11.1,61.1,10,120,5
BBL,2,174,1,60,2,10.0,8,3,22,30.6,61.1,8,195,5
BBL,2,158,2,52,1,8.67,6,0,17,16.7,47.2,9,160,5
BBL,2,142,1,58,1,9.67,6,2,22,22.2,61.1,9,183,4
CPL,1,148,2,50,2,8.33,4,3,19,19.4,52.8,8,136,8
LPL,1,139,1,42,1,7.0,6,0,16,16.7,44.4,9,102,5
PSL,1,146,2,52,3,8.67,7,2,17,25.0,47.2,7,152,7
IPL,1,147,1,51,2,8.5,5,0,19,13.9,52.8,8,170,8
BBL,2,173,2,54,2,9.0,7,3,17,27.8,47.2,8,163,6
PSL,1,166,1,65,1,10.83,6,3,22,25.0,61.1,9,187,5
CPL,1,167,2,48,2,8.0,5,1,22,16.7,61.1,8,119,7
BPL,1,172,1,57,2,9.5,5,1,18,16.7,50.0,8,160,5
MLC,1,154,2,48,2,8.0,4,2,14,16.7,38.9,8,132,6
T20I,0,180,1,45,1,7.5,4,2,21,16.7,58.3,9,121,5
T20 Blast,0,180,2,40,3,6.67,5,2,12,19.4,33.3,7,106,9
BPL,0,142,1,37,3,6.17,5,1,12,16.7,33.3,7,102,9
MLC,0,141,2,23,3,3.83,1,0,17,2.8,47.2,7,63,7
IPL,1,162,1,54,2,9.0,7,3,17,27.8,47.2,8,182,4
SA20,1,167,2,29,3,4.83,2,0,17,5.6,47.2,7,90,5
Super Smash,1,172,1,44,1,7.33,6,2,22,22.2,61.1,9,106,4
T20 Blast,1,160,2,23,3,3.83,2,1,18,8.3,50.0,7,70,9
CPL,2,143,1,60,1,10.0,6,0,21,16.7,58.3,9,186,6
SA20,1,170,2,62,0,10.33,8,2,20,27.8,55.6,10,209,4
BBL,0,165,1,35,2,5.83,4,0,14,11.1,38.9,8,104,8
ILT20,2,178,2,63,1,10.5,6,1,18,19.4,50.0,9,194,5
Super Smash,1,146,1,48,4,8.0,5,0,11,13.9,30.6,6,126,10
LPL,1,176,2,50,2,8.33,6,1,14,19.4,38.9,8,136,5
Super Smash,1,159,1,49,0,8.17,7,2,19,25.0,52.8,10,143,3
IPL,1,151,2,44,4,7.33,6,0,20,16.7,55.6,6,135,9
ILT20,0,141,1,38,3,6.33,5,2,16,19.4,44.4,7,106,5
Super Smash,1,150,2,53,1,8.83,5,0,22,13.9,61.1,9,162,6
LPL,2,143,1,43,4,7.17,5,1,20,16.7,55.6,6,101,9
PSL,1,178,2,50,2,8.33,7,3,22,27.8,61.1,8,158,6
T20I,1,171,1,48,2,8.0,5,1,17,16.7,47.2,8,140,4
PSL,0,169,2,32,3,5.33,2,0,22,5.6,61.1,7,93,5
IPL,1,151,1,73,1,12.17,6,4,17,27.8,47.2,9,244,6
Super Smash,1,176,2,48,1,8.0,6,1,17,19.4,47.2,9,131,3
BBL,2,144,1,37,5,6.17,4,1,17,13.9,47.2,5,107,9
T20 Blast,0,175,2,40,4,6.67,4,0,14,11.1,38.9,6,81,8
BBL,1,155,1,31,5,5.17,3,0,19,8.3,52.8,5,81,9
BBL,1,165,2,39,3,6.5,3,0,16,8.3,44.4,7,121,8
T20I,2,177,1,24,5,4.0,2,1,9,8.3,25.0,5,49,9
ILT20,2,139,2,32,2,5.33,3,0,18,8.3,50.0,8,109,8
BPL,0,180,1,47,3,7.83,3,2,19,13.9,52.8,7,114,7
Super Smash,0,138,2,27,4,4.5,2,1,10,8.3,27.8,6,65,9
T20 World Cup,2,170,1,50,2,8.33,7,0,21,19.4,58.3,8,150,5
CPL,0,157,2,32,3,5.33,3,2,16,13.9,44.4,7,82,8
T20 Blast,2,154,1,32,3,5.33,3,1,14,11.1,38.9,7,70,6
PSL,1,155,2,27,3,4.5,2,0,21,5.6,58.3,7,74,7
PSL,2,142,1,68,1,11.33,9,1,18,27.8,50.0,9,219,3
LPL,1,170,2,36,3,6.0,5,2,15,19.4,41.7,7,85,9
PSL,1,155,1,49,2,8.17,5,2,18,19.4,50.0,8,132,4
IPL,1,156,2,34,4,5.67,3,0,20,8.3,55.6,6,90,8
T20 Blast,0,150,1,43,2,7.17,3,0,18,8.3,50.0,8,108,7
SA20,1,178,2,51,2,8.5,7,1,15,22.2,41.7,8,156,7
SA20,1,175,1,56,1,9.33,5,0,22,13.9,61.1,9,184,6
T20 World Cup,2,139,2,8,6,1.33,1,0,21,2.8,58.3,4,23,10
T20 Blast,2,153,1,51,1,8.5,5,2,19,19.4,52.8,9,154,5
BPL,1,157,2,38,2,6.33,4,2,14,16.7,38.9,8,96,4
T20 Blast,1,141,1,31,6,5.17,4,0,21,11.1,58.3,4,78,8
BPL,1,170,2,39,3,6.5,3,1,15,11.1,41.7,7,96,8
SA20,1,147,1,50,1,8.33,4,2,22,16.7,61.1,9,151,3
T20 Blast,2,138,2,57,1,9.5,7,0,21,19.4,58.3,9,165,7
LPL,1,171,1,34,3,5.67,2,1,14,8.3,38.9,7,86,6
Super Smash,0,162,2,30,2,5.0,2,1,16,8.3,44.4,8,71,7
T20 Blast,1,163,1,26,4,4.33,2,1,10,8.3,27.8,6,74,7
Super Smash,0,176,2,44,1,7.33,3,2,21,13.9,58.3,9,106,3
BPL,0,152,1,48,2,8.0,6,0,15,16.7,41.7,8,115,6
ILT20,0,170,2,35,3,5.83,5,0,22,13.9,61.1,7,94,8
BPL,2,148,1,46,1,7.67,6,0,21,16.7,58.3,9,147,5
ILT20,1,143,2,65,1,10.83,6,1,18,19.4,50.0,9,204,4
LPL,1,161,1,50,1,8.33,7,0,17,19.4,47.2,9,147,3
Super Smash,1,160,2,38,1,6.33,4,1,18,13.9,50.0,9,101,3
BBL,1,172,1,47,4,7.83,5,1,21,16.7,58.3,6,141,7
LPL,0,141,2,58,0,9.67,5,2,19,19.4,52.8,10,151,4
T20I,2,164,1,46,4,7.67,3,0,19,8.3,52.8,6,137,6
LPL,1,146,2,45,3,7.5,5,0,20,13.9,55.6,7,117,7
PSL,2,181,1,50,2,8.33,4,2,19,16.7,52.8,8,149,8
T20 Blast,0,180,2,49,1,8.17,7,1,20,22.2,55.6,9,121,6
BBL,1,152,1,36,5,6.0,5,2,21,19.4,58.3,5,117,8
CPL,1,153,2,56,2,9.33,7,0,14,19.4,38.9,8,159,7
LPL,1,142,1,36,4,6.0,3,1,22,11.1,61.1,6,94,9
SA20,1,148,2,57,2,9.5,7,1,19,22.2,52.8,8,162,8
IPL,0,158,1,39,3,6.5,3,1,17,11.1,47.2,7,103,7
CPL,1,174,2,55,0,9.17,7,1,22,22.2,61.1,10,162,3
T20I,0,161,1,30,4,5.0,2,0,12,5.6,33.3,6,76,8
T20 Blast,1,173,2,51,1,8.5,4,1,22,13.9,61.1,9,138,3
T20 World Cup,1,154,1,62,2,10.33,7,0,18,19.4,50.0,8,180,5
BBL,1,138,2,23,4,3.83,3,1,17,11.1,47.2,6,63,7
Super Smash,1,145,1,24,5,4.0,3,1,10,11.1,27.8,5,45,7
PSL,1,146,2,67,1,11.17,5,0,16,13.9,44.4,9,203,5
T20 Blast,2,170,1,42,3,7.0,5,1,21,16.7,58.3,7,113,7
ILT20,0,179,2,52,2,8.67,6,0,18,16.7,50.0,8,138,6
T20 Blast,1,172,1,60,1,10.0,6,3,21,25.0,58.3,9,156,7
T20 World Cup,0,166,2,50,1,8.33,7,0,18,19.4,50.0,9,142,5
T20 World Cup,1,166,1,45,2,7.5,6,0,16,16.7,44.4,8,135,5
T20 World Cup,2,157,2,45,3,7.5,5,0,19,13.9,52.8,7,122,7
T20 World Cup,1,164,1,47,2,7.83,3,1,14,11.1,38.9,8,142,5
BPL,2,174,2,51,1,8.5,6,1,19,19.4,52.8,9,152,7
ILT20,1,161,1,47,3,7.83,4,2,17,16.7,47.2,7,137,8
MLC,1,181,2,53,1,8.83,6,2,19,22.2,52.8,9,148,4
ILT20,1,162,1,19,5,3.17,1,1,10,5.6,27.8,5,59,7
PSL,1,163,2,47,2,7.83,3,1,20,11.1,55.6,8,133,5
MLC,2,180,1,27,5,4.5,2,0,17,5.6,47.2,5,74,8
T20 World Cup,2,151,2,31,3,5.17,3,0,21,8.3,58.3,7,89,5
T20I,1,159,1,8,6,1.33,1,1,10,5.6,27.8,4,23,10
SA20,2,166,2,30,6,5.0,3,0,14,8.3,38.9,4,76,10
LPL,1,155,1,57,1,9.5,8,2,21,27.8,58.3,9,173,7
BPL,1,148,2,19,6,3.17,2,1,19,8.3,52.8,4,44,8
CPL,2,166,1,44,3,7.33,5,1,19,16.7,52.8,7,121,8
T20I,1,173,2,49,2,8.17,5,1,15,16.7,41.7,8,129,8
BPL,1,140,1,33,3,5.5,2,0,12,5.6,33.3,7,93,5
BBL,1,149,2,61,1,10.17,7,0,16,19.4,44.4,9,185,7
IPL,0,138,1,44,1,7.33,6,0,19,16.7,52.8,9,123,4
IPL,0,157,2,39,4,6.5,5,1,12,16.7,33.3,6,110,7
MLC,1,167,1,49,1,8.17,4,0,21,11.1,58.3,9,134,7
Super Smash,2,176,2,60,2,10.0,6,3,17,25.0,47.2,8,155,7
IPL,0,142,1,44,3,7.33,4,0,16,11.1,44.4,7,125,6
MLC,1,165,2,40,4,6.67,5,0,11,13.9,30.6,6,98,9
MLC,1,168,1,52,0,8.67,4,2,20,16.7,55.6,10,164,2
BBL,0,144,2,35,5,5.83,5,1,21,16.7,58.3,5,83,8
Super Smash,1,160,1,55,0,9.17,7,2,22,25.0,61.1,10,166,3
Super Smash,1,146,2,30,1,5.0,3,0,20,8.3,55.6,9,57,5
BPL,2,166,1,43,1,7.17,5,2,16,19.4,44.4,9,137,3
LPL,1,161,2,39,2,6.5,4,2,22,16.7,61.1,8,100,4
CPL,1,180,1,49,1,8.17,4,2,22,16.7,61.1,9,155,3
BBL,0,179,2,38,2,6.33,5,2,16,19.4,44.4,8,96,6
Super Smash,1,143,1,25,3,4.17,2,1,13,8.3,36.1,7,49,8
T20 World Cup,2,175,2,69,1,11.5,6,3,21,25.0,58.3,9,217,5
CPL,0,139,1,35,2,5.83,5,0,18,13.9,50.0,8,78,5
T20 World Cup,2,146,2,34,4,5.67,2,0,11,5.6,30.6,6,91,6
T20 World Cup,1,143,1,53,1,8.83,4,0,19,11.1,52.8,9,165,5
ILT20,1,149,2,71,0,11.83,6,1,19,19.4,52.8,10,236,5
PSL,1,156,1,57,1,9.5,4,1,18,13.9,50.0,9,167,3
CPL,1,175,2,40,3,6.67,4,1,17,13.9,47.2,7,101,9
BPL,1,170,1,39,4,6.5,3,0,10,8.3,27.8,6,107,7
T20I,1,177,2,37,4,6.17,3,0,22,8.3,61.1,6,119,9
IPL,0,154,1,51,2,8.5,5,3,17,22.2,47.2,8,158,4
IPL,1,141,2,46,4,7.67,4,0,16,11.1,44.4,6,153,7
ILT20,0,138,1,65,0,10.83,5,4,19,25.0,52.8,10,189,2
PSL,1,162,2,30,5,5.0,3,1,22,11.1,61.1,5,78,10
ILT20,1,169,1,54,2,9.0,7,1,21,22.2,58.3,8,163,5
ILT20,0,178,2,55,1,9.17,7,0,16,19.4,44.4,9,155,5
BBL,2,169,1,51,1,8.5,6,1,17,19.4,47.2,9,175,5
CPL,1,151,2,38,2,6.33,5,0,21,13.9,58.3,8,113,5
BBL,2,139,1,58,2,9.67,8,2,18,27.8,50.0,8,193,8
SA20,0,167,2,53,1,8.83,6,3,22,25.0,61.1,9,131,3
T20I,0,156,1,32,6,5.33,4,1,8,13.9,22.2,4,74,10
ILT20,1,172,2,44,3,7.33,3,0,22,8.3,61.1,7,125,6
IPL,0,179,1,52,1,8.67,4,3,16,19.4,44.4,9,152,4
BBL,1,178,2,36,2,6.0,4,1,16,13.9,44.4,8,112,7
IPL,1,147,1,55,3,9.17,4,1,22,13.9,61.1,7,170,8
ILT20,0,179,2,41,3,6.83,3,2,21,13.9,58.3,7,107,5
BPL,1,143,1,41,4,6.83,5,0,22,13.9,61.1,6,88,10
Super Smash,0,157,2,40,1,6.67,5,0,16,13.9,44.4,9,99,6
T20 Blast,0,173,1,26,4,4.33,3,1,13,11.1,36.1,6,61,10
IPL,1,167,2,63,1,10.5,7,3,18,27.8,50.0,9,212,3
SA20,2,175,1,56,2,9.33,8,2,18,27.8,50.0,8,165,6
SA20,0,154,2,65,1,10.83,7,3,19,27.8,52.8,9,184,5
T20 Blast,1,180,1,25,5,4.17,2,0,22,5.6,61.1,5,52,7
PSL,2,178,2,58,1,9.67,6,1,20,19.4,55.6,9,181,3
Super Smash,2,179,1,37,3,6.17,3,0,12,8.3,33.3,7,92,5
T20 Blast,1,138,2,45,2,7.5,3,0,19,8.3,52.8,8,113,5
Super Smash,1,149,1,53,1,8.83,7,0,20,19.4,55.6,9,156,5
BPL,1,158,2,60,1,10.0,5,1,19,16.7,52.8,9,177,7
PSL,1,177,1,24,5,4.0,2,0,12,5.6,33.3,5,54,10
BPL,1,170,2,53,1,8.83,5,3,17,22.2,47.2,9,156,6
IPL,1,164,1,63,3,10.5,5,2,19,19.4,52.8,7,179,8
Super Smash,0,177,2,31,4,5.17,4,1,14,13.9,38.9,6,88,10
ILT20,0,158,1,47,0,7.83,4,1,19,13.9,52.8,10,138,2
BBL,2,168,2,45,3,7.5,4,0,15,11.1,41.7,7,131,9
T20 Blast,1,138,1,48,3,8.0,5,1,17,16.7,47.2,7,120,9
T20 Blast,1,153,2,51,2,8.5,4,2,22,16.7,61.1,8,149,4
PSL,1,157,1,54,1,9.0,6,0,19,16.7,52.8,9,157,7
LPL,2,164,2,44,3,7.33,5,1,21,16.7,58.3,7,114,5
IPL,0,142,1,69,1,11.5,7,3,20,27.8,55.6,9,213,3
BBL,0,177,2,34,3,5.67,3,2,13,13.9,36.1,7,88,8
T20I,1,141,1,58,2,9.67,4,0,20,11.1,55.6,8,156,5
SA20,1,164,2,48,0,8.0,4,2,18,16.7,50.0,10,153,6
T20I,1,181,1,48,3,8.0,6,0,17,16.7,47.2,7,143,5
CPL,1,172,2,55,2,9.17,6,2,22,22.2,61.1,8,133,8
PSL,1,155,1,57,1,9.5,5,0,18,13.9,50.0,9,177,3
T20I,2,174,2,34,5,5.67,3,2,9,13.9,25.0,5,96,10
PSL,0,150,1,11,6,1.83,0,0,9,0.0,25.0,4,26,10
ILT20,1,174,2,58,2,9.67,6,1,15,19.4,41.7,8,178,4
T20 World Cup,1,147,1,55,2,9.17,7,2,14,25.0,38.9,8,162,7
IPL,1,160,2,68,1,11.33,8,0,16,22.2,44.4,9,252,6
T20 Blast,2,141,1,52,0,8.67,4,2,22,16.7,61.1,10,132,4
MLC,1,171,2,50,4,8.33,5,0,16,13.9,44.4,6,143,8
PSL,2,163,1,70,0,11.67,9,0,22,25.0,61.1,10,233,6
T20 World Cup,1,171,2,64,2,10.67,6,1,18,19.4,50.0,8,188,6
CPL,1,168,1,35,1,5.83,3,0,17,8.3,47.2,9,82,4
MLC,1,163,2,36,3,6.0,3,0,14,8.3,38.9,7,100,7
IPL,2,142,1,69,3,11.5,5,1,12,16.7,33.3,7,232,5
IPL,1,175,2,34,3,5.67,3,1,12,11.1,33.3,7,113,5
Super Smash,1,180,1,61,1,10.17,6,1,19,19.4,52.8,9,179,4
T20 Blast,0,168,2,23,4,3.83,3,0,13,8.3,36.1,6,52,9
SA20,1,176,1,41,5,6.83,3,2,22,13.9,61.1,5,104,7
ILT20,2,178,2,66,1,11.0,7,4,19,30.6,52.8,9,206,7
Super Smash,0,171,1,45,1,7.5,3,2,16,13.9,44.4,9,111,7
T20I,2,142,2,45,3,7.5,3,0,20,8.3,55.6,7,128,9
T20I,1,176,1,54,2,9.0,6,0,22,16.7,61.1,8,142,4
T20 World Cup,0,156,2,25,3,4.17,2,0,13,5.6,36.1,7,47,8
MLC,1,152,1,39,3,6.5,4,1,16,13.9,44.4,7,101,8
MLC,1,153,2,44,3,7.33,5,0,20,13.9,55.6,7,112,8
PSL,1,142,1,32,2,5.33,2,1,20,8.3,55.6,8,85,5
MLC,0,146,2,46,3,7.67,3,1,18,11.1,50.0,7,106,6
CPL,1,169,1,23,4,3.83,2,0,16,5.6,44.4,6,73,7
IPL,1,172,2,75,1,12.5,6,4,22,27.8,61.1,9,252,7
SA20,0,179,1,38,2,6.33,3,2,17,13.9,47.2,8,99,8
T20 Blast,1,163,2,33,3,5.5,2,0,16,5.6,44.4,7,94,9
Super Smash,0,178,1,34,2,5.67,4,1,15,13.9,41.7,8,90,7
ILT20,1,146,2,50,3,8.33,4,1,21,13.9,58.3,7,139,9
IPL,1,164,1,30,5,5.0,4,1,17,13.9,47.2,5,94,10
BPL,1,176,2,42,1,7.0,3,0,21,8.3,58.3,9,119,3
BBL,2,178,1,55,1,9.17,6,1,19,19.4,52.8,9,186,6
T20 World Cup,2,150,2,58,1,9.67,8,0,22,22.2,61.1,9,172,4
T20 World Cup,1,161,1,48,3,8.0,5,2,12,19.4,33.3,7,149,9
MLC,0,145,2,42,2,7.0,6,2,18,22.2,50.0,8,108,4
BPL,1,160,1,53,1,8.83,5,3,18,22.2,50.0,9,159,5
BBL,2,165,2,61,2,10.17,6,0,18,16.7,50.0,8,191,7
Super Smash,2,152,1,46,3,7.67,4,0,14,11.1,38.9,7,134,9
IPL,0,173,2,54,3,9.0,6,0,17,16.7,47.2,7,159,6
BPL,0,158,1,47,1,7.83,3,0,22,8.3,61.1,9,122,6
MLC,0,166,2,37,4,6.17,5,0,18,13.9,50.0,6,85,10
LPL,0,178,1,24,5,4.0,2,0,20,5.6,55.6,5,70,10
BBL,1,153,2,59,2,9.83,4,0,15,11.1,41.7,8,189,4
BPL,1,175,1,34,4,5.67,4,2,11,16.7,30.6,6,78,9
LPL,1,159,2,52,2,8.67,4,2,22,16.7,61.1,8,150,8
T20 World Cup,1,160,1,39,3,6.5,4,0,13,11.1,36.1,7,126,9
SA20,2,172,2,51,2,8.5,6,3,21,25.0,58.3,8,138,5
T20 Blast,1,141,1,51,2,8.5,5,1,21,16.7,58.3,8,151,8
LPL,2,153,2,42,5,7.0,6,1,21,19.4,58.3,5,100,7
BPL,2,169,1,52,2,8.67,6,2,16,22.2,44.4,8,155,6
ILT20,1,174,2,47,3,7.83,6,0,16,16.7,44.4,7,126,8
BBL,0,148,1,57,1,9.5,8,3,21,30.6,58.3,9,164,4
LPL,2,149,2,47,4,7.83,4,2,20,16.7,55.6,6,132,6
LPL,1,140,1,52,2,8.67,7,1,20,22.2,55.6,8,139,8
Super Smash,1,147,2,48,3,8.0,5,3,14,22.2,38.9,7,138,8
BPL,1,178,1,45,1,7.5,4,1,21,13.9,58.3,9,127,6
IPL,1,170,2,60,2,10.0,7,2,18,25.0,50.0,8,190,6
ILT20,2,151,1,59,2,9.83,6,3,21,25.0,58.3,8,199,4
CPL,1,166,2,38,4,6.33,5,0,17,13.9,47.2,6,97,9
T20I,2,153,1,45,3,7.5,3,1,17,11.1,47.2,7,121,6
CPL,2,140,2,30,6,5.0,4,1,6,13.9,16.7,4,72,10
LPL,0,175,1,42,2,7.0,5,2,21,19.4,58.3,8,98,4
ILT20,0,160,2,46,1,7.67,6,1,20,19.4,55.6,9,150,3
SA20,1,151,1,64,1,10.67,6,4,17,27.8,47.2,9,197,5
Super Smash,0,155,2,40,2,6.67,3,2,21,13.9,58.3,8,89,7
BPL,1,156,1,38,3,6.33,3,0,13,8.3,36.1,7,97,7
LPL,1,177,2,52,2,8.67,4,0,17,11.1,47.2,8,142,6
BPL,2,173,1,59,2,9.83,4,0,19,11.1,52.8,8,153,5
