league,pitch_type,venue_avg,innings,pp_runs,pp_wickets,pp_run_rate,pp_fours,pp_sixes,pp_dot_balls,pp_extras,pp_boundary_pct,pp_dot_pct,wickets_in_hand,final_score,final_wickets
SA20,2,178,1,53,0,8.83,7,2,18,1,25.0,50.0,10,181,3
PSL,1,138,2,63,0,10.5,9,3,18,1,33.3,50.0,10,177,2
ILT20,1,148,1,37,3,6.17,5,2,17,0,19.4,47.2,7,115,7
T20 World Cup,2,158,2,38,3,6.33,3,0,14,1,8.3,38.9,7,100,9
Super Smash,1,164,1,28,6,4.67,4,1,8,2,13.9,22.2,4,70,8
MLC,1,151,2,53,2,8.83,4,3,14,6,19.4,38.9,8,135,4
CPL,1,138,1,43,1,7.17,6,2,18,5,22.2,50.0,9,138,3
LPL,0,144,2,48,1,8.0,5,2,20,0,19.4,55.6,9,127,3
PSL,0,181,1,51,0,8.5,6,3,20,4,25.0,55.6,10,144,4
LPL,1,142,2,40,2,6.67,5,0,16,5,13.9,44.4,8,101,4
PSL,2,150,1,32,3,5.33,2,0,12,4,5.6,33.3,7,102,9
LPL,0,174,2,30,3,5.0,2,1,16,5,8.3,44.4,7,84,8
T20I,2,162,1,36,3,6.0,3,1,22,3,11.1,61.1,7,102,5
T20 Blast,2,153,2,43,2,7.17,5,2,22,4,19.4,61.1,8,122,5
ILT20,1,144,1,27,5,4.5,3,0,21,6,8.3,58.3,5,74,8
BBL,1,153,2,45,3,7.5,4,1,16,2,13.9,44.4,7,141,7
T20 World Cup,0,170,1,44,4,7.33,4,0,20,6,11.1,55.6,6,98,10
T20 Blast,2,160,2,65,1,10.83,5,2,16,1,19.4,44.4,9,190,7
T20 Blast,1,169,1,36,4,6.0,4,0,14,4,11.1,38.9,6,97,7
BPL,1,138,2,25,5,4.17,3,0,10,2,8.3,27.8,5,63,8
T20I,0,143,1,51,1,8.5,4,1,16,6,13.9,44.4,9,130,3
PSL,2,158,2,34,4,5.67,4,1,12,6,13.9,33.3,6,91,6
IPL,1,158,1,62,1,10.33,5,1,16,6,16.7,44.4,9,209,6
ILT20,2,176,2,56,1,9.33,4,1,21,2,13.9,58.3,9,183,7
PSL,1,181,1,14,6,2.33,2,0,12,0,5.6,33.3,4,45,9
MLC,2,156,2,32,4,5.33,2,1,17,3,8.3,47.2,6,87,6
BPL,2,145,1,32,4,5.33,3,2,19,2,13.9,52.8,6,70,10
BPL,0,142,2,48,3,8.0,6,2,22,2,22.2,61.1,7,112,5
T20I,1,142,1,46,1,7.67,5,0,20,2,13.9,55.6,9,144,3
SA20,1,176,2,48,4,8.0,6,2,16,5,22.2,44.4,6,114,7
SA20,1,145,1,31,5,5.17,2,1,12,3,8.3,33.3,5,98,9
ILT20,0,155,2,46,2,7.67,5,1,15,1,16.7,41.7,8,134,8
T20 Blast,1,179,1,54,1,9.0,7,0,17,1,19.4,47.2,9,160,4
PSL,0,144,2,47,2,7.83,6,0,18,6,16.7,50.0,8,119,6
T20 World Cup,1,146,1,24,6,4.0,3,1,12,3,11.1,33.3,4,62,10
LPL,1,168,2,65,0,10.83,6,0,21,4,16.7,58.3,10,197,5
T20 World Cup,2,172,1,56,1,9.33,6,1,18,4,19.4,50.0,9,174,5
Super Smash,1,150,2,61,0,10.17,6,3,18,3,25.0,50.0,10,178,2
ILT20,1,155,1,24,5,4.0,2,1,18,3,8.3,50.0,5,59,10
MLC,2,141,2,19,5,3.17,1,1,10,0,5.6,27.8,5,53,10
MLC,1,139,1,50,2,8.33,6,2,16,6,22.2,44.4,8,139,7
T20 World Cup,1,145,2,42,5,7.0,4,2,19,2,16.7,52.8,5,110,9
PSL,2,169,1,52,2,8.67,5,1,15,4,16.7,41.7,8,150,7
BPL,1,158,2,53,1,8.83,5,1,20,0,16.7,55.6,9,158,6
SA20,0,138,1,55,2,9.17,4,3,22,6,19.4,61.1,8,137,8
T20 World Cup,1,145,2,51,1,8.5,4,1,17,1,13.9,47.2,9,155,6
T20I,2,146,1,36,2,6.0,5,2,19,4,19.4,52.8,8,109,5
T20 World Cup,0,140,2,21,6,3.5,1,0,17,3,2.8,47.2,4,41,8
T20I,1,176,1,39,3,6.5,3,2,21,5,13.9,58.3,7,100,9
MLC,0,169,2,33,3,5.5,3,2,14,2,13.9,38.9,7,86,9
CPL,1,175,1,12,6,2.0,1,1,18,1,5.6,50.0,4,50,10
T20 World Cup,1,158,2,54,1,9.0,6,1,18,1,19.4,50.0,9,165,4
BPL,1,150,1,43,4,7.17,3,1,12,2,11.1,33.3,6,99,6
BPL,0,173,2,31,4,5.17,4,1,17,0,13.9,47.2,6,68,8
Super Smash,1,150,1,60,1,10.0,5,1,20,6,16.7,55.6,9,183,7
T20 World Cup,1,141,2,56,1,9.33,5,1,19,6,16.7,52.8,9,164,5
PSL,2,169,1,54,1,9.0,7,2,19,1,25.0,52.8,9,177,5
T20 Blast,1,166,2,29,6,4.83,2,0,17,5,5.6,47.2,4,75,9
CPL,0,151,1,47,2,7.83,4,1,20,5,13.9,55.6,8,125,5
T20 World Cup,2,174,2,48,4,8.0,5,1,13,5,16.7,36.1,6,130,6
ILT20,1,147,1,56,1,9.33,8,3,16,2,30.6,44.4,9,177,3
SA20,1,140,2,59,0,9.83,4,1,22,5,13.9,61.1,10,187,3
T20 World Cup,0,170,1,46,1,7.67,6,0,22,1,16.7,61.1,9,121,7
BPL,1,174,2,50,1,8.33,6,2,20,1,22.2,55.6,9,143,4
ILT20,2,161,1,36,2,6.0,5,1,15,4,16.7,41.7,8,112,5
Super Smash,2,143,2,50,1,8.33,4,0,16,5,11.1,44.4,9,149,6
Super Smash,1,175,1,45,3,7.5,3,2,16,1,13.9,44.4,7,131,9
Super Smash,2,176,2,44,1,7.33,4,1,22,2,13.9,61.1,9,116,3
MLC,2,170,1,51,4,8.5,6,1,10,3,19.4,27.8,6,129,6
CPL,1,159,2,45,1,7.5,4,2,16,5,16.7,44.4,9,125,3
BPL,2,171,1,39,2,6.5,3,1,19,4,11.1,52.8,8,117,7
CPL,1,138,2,50,1,8.33,7,2,21,1,25.0,58.3,9,145,3
ILT20,0,174,1,33,5,5.5,3,1,11,3,11.1,30.6,5,67,9
SA20,1,167,2,48,1,8.0,5,0,16,2,13.9,44.4,9,152,3
PSL,1,166,1,44,2,7.33,6,0,14,3,16.7,38.9,8,130,5
Super Smash,0,164,2,44,1,7.33,3,2,20,0,13.9,55.6,9,100,3
PSL,2,158,1,65,1,10.83,8,4,21,0,33.3,58.3,9,208,7
PSL,0,181,2,56,0,9.33,4,1,20,6,13.9,55.6,10,163,6
T20 Blast,2,178,1,13,6,2.17,1,0,15,3,2.8,41.7,4,28,10
CPL,0,173,2,38,3,6.33,4,1,15,1,13.9,41.7,7,106,5
T20 Blast,2,176,1,53,3,8.83,6,1,16,3,19.4,44.4,7,143,6
Super Smash,2,173,2,37,2,6.17,5,0,18,6,13.9,50.0,8,97,6
SA20,2,166,1,48,2,8.0,6,1,14,2,19.4,38.9,8,163,5
BBL,1,160,2,57,2,9.5,7,3,19,5,27.8,52.8,8,171,7
ILT20,1,174,1,35,5,5.83,2,2,22,0,11.1,61.1,5,105,10
BPL,1,142,2,41,3,6.83,5,1,12,6,16.7,33.3,7,112,8
PSL,1,139,1,28,3,4.67,2,0,14,3,5.6,38.9,7,78,7
T20 Blast,2,179,2,50,4,8.33,5,3,17,0,22.2,47.2,6,125,7
BPL,1,172,1,48,2,8.0,4,3,14,6,19.4,38.9,8,126,8
BBL,1,178,2,24,4,4.0,3,0,20,3,8.3,55.6,6,64,8
T20 World Cup,1,181,1,51,3,8.5,7,1,13,2,22.2,36.1,7,130,9
T20 Blast,1,147,2,54,1,9.0,7,2,22,0,25.0,61.1,9,154,3
ILT20,0,158,1,35,3,5.83,4,2,13,2,16.7,36.1,7,76,5
IPL,0,163,2,38,2,6.33,4,1,15,4,13.9,41.7,8,93,4
BBL,0,142,1,30,5,5.0,2,1,14,6,8.3,38.9,5,76,9
T20 World Cup,0,181,2,33,3,5.5,4,0,16,2,11.1,44.4,7,77,5
CPL,1,181,1,31,5,5.17,2,1,16,2,8.3,44.4,5,76,8
IPL,1,151,2,44,4,7.33,6,0,20,6,16.7,55.6,6,128,6
IPL,1,178,1,46,3,7.67,6,1,22,0,19.4,61.1,7,127,6
CPL,1,172,2,44,1,7.33,3,0,16,4,8.3,44.4,9,137,7
MLC,2,174,1,25,6,4.17,2,1,16,0,8.3,44.4,4,65,9
MLC,1,155,2,47,4,7.83,5,1,19,5,16.7,52.8,6,120,8
LPL,0,154,1,43,2,7.17,3,0,20,0,8.3,55.6,8,112,7
BPL,2,146,2,39,3,6.5,5,0,13,6,13.9,36.1,7,124,6
T20 Blast,1,147,1,49,2,8.17,7,3,14,1,27.8,38.9,8,129,5
PSL,1,179,2,59,1,9.83,4,1,22,1,13.9,61.1,9,178,5
T20 Blast,1,146,1,50,4,8.33,6,3,18,6,25.0,50.0,6,136,6
PSL,1,158,2,56,2,9.33,5,3,17,2,22.2,47.2,8,161,7
BPL,0,146,1,43,2,7.17,3,2,15,3,13.9,41.7,8,115,7
T20I,1,177,2,23,5,3.83,1,1,9,4,5.6,25.0,5,61,9
IPL,2,160,1,36,2,6.0,3,1,18,3,11.1,50.0,8,115,8
IPL,1,170,2,59,1,9.83,6,2,16,4,22.2,44.4,9,212,7
ILT20,1,177,1,48,2,8.0,6,3,20,4,25.0,55.6,8,140,8
BPL,0,158,2,32,4,5.33,3,0,14,3,8.3,38.9,6,81,9
Super Smash,1,180,1,49,2,8.17,6,3,17,3,25.0,47.2,8,122,6
BPL,1,161,2,42,3,7.0,3,1,14,2,11.1,38.9,7,91,8
BBL,2,177,1,73,1,12.17,6,4,21,1,27.8,58.3,9,254,4
SA20,0,152,2,37,4,6.17,4,0,19,5,11.1,52.8,6,99,6
T20 Blast,1,159,1,51,1,8.5,4,1,18,0,13.9,50.0,9,137,7
T20I,1,144,2,51,2,8.5,4,2,20,0,16.7,55.6,8,137,8
BPL,2,174,1,62,1,10.33,5,0,17,3,13.9,47.2,9,189,6
SA20,2,178,2,53,2,8.83,7,1,15,0,22.2,41.7,8,171,6
LPL,0,154,1,48,1,8.0,4,3,18,3,19.4,50.0,9,123,3
LPL,0,165,2,36,3,6.0,5,2,21,3,19.4,58.3,7,97,8
T20I,2,141,1,45,0,7.5,4,1,20,2,13.9,55.6,10,149,5
MLC,0,166,2,41,1,6.83,5,0,21,0,13.9,58.3,9,100,7
T20 World Cup,2,176,1,44,4,7.33,3,1,19,1,11.1,52.8,6,133,9
Super Smash,1,157,2,50,2,8.33,5,0,15,1,13.9,41.7,8,130,4
T20 World Cup,2,179,1,41,2,6.83,3,2,20,1,13.9,55.6,8,129,5
T20 Blast,1,181,2,28,5,4.67,2,0,18,6,5.6,50.0,5,58,10
Super Smash,1,150,1,29,5,4.83,2,0,22,3,5.6,61.1,5,70,10
T20 Blast,1,164,2,35,2,5.83,5,2,15,4,19.4,41.7,8,103,4
CPL,0,181,1,59,0,9.83,8,2,21,5,27.8,58.3,10,155,2
BPL,1,152,2,53,2,8.83,6,0,15,3,16.7,41.7,8,133,6
T20I,1,175,1,38,3,6.33,3,2,13,2,13.9,36.1,7,109,6
Super Smash,2,141,2,42,3,7.0,3,2,13,2,13.9,36.1,7,101,7
BBL,2,146,1,57,2,9.5,4,3,15,6,19.4,41.7,8,176,7
SA20,1,164,2,55,1,9.17,5,0,22,3,13.9,61.1,9,196,5
BPL,1,175,1,41,2,6.83,3,0,21,4,8.3,58.3,8,120,4
BBL,1,155,2,22,4,3.67,3,0,12,3,8.3,33.3,6,71,6
MLC,1,151,1,43,3,7.17,5,0,13,5,13.9,36.1,7,127,5
T20I,2,180,2,37,4,6.17,4,2,19,0,16.7,52.8,6,81,10
BPL,1,143,1,51,1,8.5,6,2,19,4,22.2,52.8,9,144,7
T20 Blast,0,180,2,49,1,8.17,7,1,20,1,22.2,55.6,9,109,5
CPL,1,172,1,34,5,5.67,4,2,10,6,16.7,27.8,5,74,8
T20 World Cup,0,167,2,14,6,2.33,1,1,13,4,5.6,36.1,4,33,10
ILT20,0,172,1,34,2,5.67,3,2,21,2,13.9,58.3,8,89,5
CPL,0,148,2,32,3,5.33,3,2,12,3,13.9,33.3,7,68,6
CPL,2,162,1,45,2,7.5,4,1,21,6,13.9,58.3,8,134,8
BPL,1,156,2,44,0,7.33,6,1,22,1,19.4,61.1,10,132,5
SA20,1,147,1,47,2,7.83,6,0,21,1,16.7,58.3,8,141,5
Super Smash,1,157,2,24,3,4.0,3,1,17,0,11.1,47.2,7,58,7
IPL,1,166,1,59,1,9.83,8,3,16,2,30.6,44.4,9,204,3
PSL,0,149,2,29,4,4.83,4,1,14,5,13.9,38.9,6,57,6
PSL,2,141,1,51,1,8.5,4,3,16,0,19.4,44.4,9,161,5
T20 Blast,1,170,2,40,3,6.67,4,1,21,2,13.9,58.3,7,101,8
Super Smash,2,169,1,54,2,9.0,4,1,14,1,13.9,38.9,8,145,7
SA20,0,156,2,53,1,8.83,4,2,18,6,16.7,50.0,9,140,6
LPL,1,141,1,38,3,6.33,5,0,16,4,13.9,44.4,7,97,5
SA20,1,181,2,59,1,9.83,6,1,20,3,19.4,55.6,9,172,6
Super Smash,1,143,1,35,3,5.83,4,2,18,0,16.7,50.0,7,82,5
BPL,1,157,2,45,1,7.5,3,2,21,5,13.9,58.3,9,126,4
ILT20,0,162,1,31,3,5.17,3,0,12,4,8.3,33.3,7,83,9
ILT20,1,180,2,55,3,9.17,6,0,12,2,16.7,33.3,7,136,7
ILT20,0,178,1,54,2,9.0,7,3,18,3,27.8,50.0,8,148,6
BBL,1,144,2,62,0,10.33,5,1,21,3,16.7,58.3,10,199,5
BBL,1,163,1,52,1,8.67,7,0,18,4,19.4,50.0,9,167,4
T20 World Cup,1,151,2,29,3,4.83,3,0,21,6,8.3,58.3,7,80,7
ILT20,1,175,1,9,6,1.5,1,0,11,1,2.8,30.6,4,24,10
MLC,1,171,2,25,6,4.17,3,0,16,5,8.3,44.4,4,67,10
CPL,2,146,1,43,2,7.17,3,0,22,3,8.3,61.1,8,140,6
Super Smash,0,178,2,32,4,5.33,4,0,14,4,11.1,38.9,6,77,8
BBL,1,160,1,43,3,7.17,5,2,20,2,19.4,55.6,7,119,7
PSL,0,156,2,24,4,4.0,2,0,12,0,5.6,33.3,6,47,9
BBL,1,138,1,47,2,7.83,4,1,22,1,13.9,61.1,8,148,4
IPL,2,178,2,74,0,12.33,8,0,18,3,22.2,50.0,10,265,5
T20 World Cup,1,157,1,60,1,10.0,7,3,16,0,27.8,44.4,9,177,5
LPL,2,152,2,60,1,10.0,7,3,20,0,27.8,55.6,9,172,6
Super Smash,1,179,1,51,2,8.5,7,1,20,2,22.2,55.6,8,124,7
IPL,1,142,2,49,3,8.17,5,1,16,3,16.7,44.4,7,142,8
T20 World Cup,1,172,1,41,4,6.83,3,0,21,3,8.3,58.3,6,98,9
SA20,1,145,2,44,1,7.33,3,0,18,0,8.3,50.0,9,126,3
MLC,2,178,1,59,1,9.83,6,0,18,6,16.7,50.0,9,171,5
IPL,2,176,2,28,6,4.67,4,0,22,1,11.1,61.1,4,84,10
IPL,1,175,1,27,3,4.5,2,0,19,4,5.6,52.8,7,81,8
T20I,2,169,2,31,3,5.17,2,1,17,5,8.3,47.2,7,79,7
Super Smash,1,180,1,47,3,7.83,6,0,16,1,16.7,44.4,7,119,7
Super Smash,1,160,2,62,1,10.33,7,2,18,1,25.0,50.0,9,169,7
MLC,2,165,1,31,5,5.17,2,1,17,6,8.3,47.2,5,77,9
PSL,1,167,2,43,2,7.17,5,1,18,5,16.7,50.0,8,127,7
ILT20,1,152,1,40,4,6.67,3,2,10,3,13.9,27.8,6,99,7
T20 World Cup,1,146,2,32,4,5.33,2,0,11,1,5.6,30.6,6,78,6
PSL,0,140,1,48,1,8.0,4,1,20,2,13.9,55.6,9,128,4
SA20,0,156,2,30,3,5.0,2,0,19,5,5.6,52.8,7,79,5
BPL,1,148,1,48,2,8.0,6,3,14,2,25.0,38.9,8,130,5
MLC,2,144,2,45,2,7.5,3,2,17,5,13.9,47.2,8,136,4
T20 Blast,0,179,1,55,0,9.17,4,3,22,1,19.4,61.1,10,147,4
T20 World Cup,1,149,2,18,6,3.0,2,0,13,6,5.6,36.1,4,46,10
T20 Blast,1,152,1,20,6,3.33,1,0,7,5,2.8,19.4,4,51,8
ILT20,0,144,2,45,2,7.5,6,2,22,6,22.2,61.1,8,121,5
IPL,1,141,1,58,2,9.67,7,2,22,6,25.0,61.1,8,189,8
ILT20,1,169,2,54,2,9.0,7,1,21,6,22.2,58.3,8,157,5
LPL,2,180,1,59,1,9.83,4,0,18,2,11.1,50.0,9,186,6
T20 World Cup,1,158,2,45,3,7.5,3,1,15,2,11.1,41.7,7,141,6
BPL,1,158,1,39,2,6.5,3,1,16,1,11.1,44.4,8,108,6
CPL,0,170,2,51,2,8.5,4,3,16,4,19.4,44.4,8,129,7
SA20,1,173,1,18,5,3.0,1,1,14,4,5.6,38.9,5,34,9
CPL,2,161,2,47,2,7.83,3,2,15,3,13.9,41.7,8,137,7
IPL,0,178,1,52,1,8.67,7,0,21,1,19.4,58.3,9,155,7
IPL,2,153,2,62,1,10.33,6,1,18,6,19.4,50.0,9,209,4
CPL,1,141,1,48,0,8.0,4,3,20,6,19.4,55.6,10,153,2
ILT20,1,173,2,54,2,9.0,6,0,20,5,16.7,55.6,8,163,8
BBL,1,157,1,50,3,8.33,7,1,12,6,22.2,33.3,7,129,9
Super Smash,1,157,2,45,1,7.5,6,0,16,4,16.7,44.4,9,123,6
T20 Blast,1,164,1,29,4,4.83,4,0,22,2,11.1,61.1,6,76,9
BPL,1,158,2,45,2,7.5,4,0,21,1,11.1,58.3,8,126,5
LPL,0,156,1,43,2,7.17,3,1,18,1,11.1,50.0,8,108,4
PSL,1,171,2,46,3,7.67,4,1,21,6,13.9,58.3,7,149,6
IPL,0,172,1,24,5,4.0,2,0,21,3,5.6,58.3,5,69,8
T20 Blast,1,151,2,48,1,8.0,5,3,16,2,22.2,44.4,9,128,5
SA20,1,140,1,51,3,8.5,4,0,17,3,11.1,47.2,7,144,5
T20 World Cup,0,154,2,28,5,4.67,2,0,10,1,5.6,27.8,5,56,8
CPL,2,169,1,46,2,7.67,5,0,20,6,13.9,55.6,8,140,5
LPL,1,149,2,37,5,6.17,4,2,9,4,16.7,25.0,5,85,10
CPL,2,151,1,42,2,7.0,5,1,16,1,16.7,44.4,8,126,8
SA20,0,159,2,57,0,9.5,7,0,21,0,19.4,58.3,10,166,3
BPL,0,142,1,13,5,2.17,1,0,21,3,2.8,58.3,5,28,7
Super Smash,1,154,2,51,2,8.5,7,0,18,2,19.4,50.0,8,139,7
BPL,0,146,1,46,1,7.67,3,0,18,1,8.3,50.0,9,113,4
Super Smash,1,171,2,50,2,8.33,5,3,16,3,22.2,44.4,8,132,8
T20 Blast,1,153,1,51,2,8.5,4,2,22,5,16.7,61.1,8,153,6
BPL,0,162,2,46,1,7.67,3,1,16,5,11.1,44.4,9,105,5
T20 World Cup,1,178,1,37,3,6.17,4,1,21,0,13.9,58.3,7,103,5
T20I,0,147,2,35,4,5.83,3,1,10,1,11.1,27.8,6,72,9
T20I,0,151,1,48,1,8.0,4,2,21,0,16.7,58.3,9,127,3
BBL,1,180,2,35,3,5.83,2,0,18,2,5.6,50.0,7,96,5
T20I,2,165,1,68,0,11.33,5,4,22,2,25.0,61.1,10,228,5
SA20,0,159,2,37,2,6.17,5,1,19,3,16.7,52.8,8,108,7
LPL,1,165,1,53,1,8.83,7,0,17,5,19.4,47.2,9,162,4
SA20,2,145,2,33,3,5.5,3,2,21,0,13.9,58.3,7,88,5
BPL,2,170,1,32,1,5.33,2,0,17,0,5.6,47.2,9,90,3
BPL,1,159,2,41,3,6.83,3,2,15,0,13.9,41.7,7,112,5
T20 World Cup,1,147,1,55,2,9.17,7,2,14,2,25.0,38.9,8,168,4
ILT20,1,170,2,64,1,10.67,5,0,22,6,13.9,61.1,9,192,3
PSL,1,151,1,51,0,8.5,4,2,19,3,16.7,52.8,10,163,4
SA20,1,173,2,50,2,8.33,7,3,17,1,27.8,47.2,8,155,8
IPL,1,150,1,45,4,7.5,4,2,18,5,16.7,50.0,6,138,7
IPL,0,154,2,52,2,8.67,5,1,20,2,16.7,55.6,8,151,8
CPL,0,139,1,43,4,7.17,3,1,11,3,11.1,30.6,6,92,9
PSL,2,148,2,56,1,9.33,4,0,18,5,11.1,50.0,9,201,4
IPL,1,152,1,70,1,11.67,9,1,21,5,27.8,58.3,9,234,4
SA20,1,164,2,21,6,3.5,2,0,14,0,5.6,38.9,4,59,10
MLC,1,147,1,44,3,7.33,6,1,20,1,19.4,55.6,7,121,6
T20I,2,151,2,62,2,10.33,7,2,22,6,25.0,61.1,8,184,4
ILT20,0,178,1,58,1,9.67,6,3,19,0,25.0,52.8,9,169,3
T20I,0,143,2,48,1,8.0,6,0,17,6,16.7,47.2,9,108,3
IPL,1,140,1,47,3,7.83,5,0,21,6,13.9,58.3,7,132,8
ILT20,1,152,2,40,3,6.67,3,1,14,4,11.1,38.9,7,125,8
T20I,1,154,1,42,1,7.0,6,2,19,2,22.2,52.8,9,116,5
IPL,1,140,2,50,2,8.33,7,2,17,4,25.0,47.2,8,170,4
T20 World Cup,1,150,1,47,3,7.83,6,0,18,5,16.7,50.0,7,132,5
T20 Blast,2,161,2,32,4,5.33,2,0,15,4,5.6,41.7,6,67,6
T20I,0,177,1,34,3,5.67,4,0,15,5,11.1,41.7,7,64,7
IPL,1,169,2,65,2,10.83,6,0,21,1,16.7,58.3,8,220,4
CPL,1,178,1,60,2,10.0,8,3,14,1,30.6,38.9,8,160,5
LPL,1,154,2,35,3,5.83,4,0,22,4,11.1,61.1,7,85,5
BPL,2,146,1,30,5,5.0,2,1,15,6,8.3,41.7,5,82,9
T20I,1,174,2,46,2,7.67,5,2,20,6,19.4,55.6,8,141,7
SA20,2,175,1,26,5,4.33,2,0,15,5,5.6,41.7,5,79,10
T20 World Cup,1,156,2,40,1,6.67,5,0,18,5,13.9,50.0,9,118,3
BBL,1,178,1,53,1,8.83,6,1,19,5,19.4,52.8,9,167,4
SA20,1,178,2,57,1,9.5,4,3,22,5,19.4,61.1,9,176,5
T20 World Cup,2,165,1,42,3,7.0,5,0,22,6,13.9,61.1,7,122,7
PSL,1,154,2,57,0,9.5,5,2,18,3,19.4,50.0,10,191,6
SA20,1,144,1,56,2,9.33,6,1,15,4,19.4,41.7,8,159,5
MLC,0,161,2,42,2,7.0,6,2,16,1,22.2,44.4,8,118,8
IPL,1,148,1,58,2,9.67,5,3,19,4,22.2,52.8,8,201,7
SA20,2,160,2,44,3,7.33,4,0,19,0,11.1,52.8,7,132,5
Super Smash,0,154,1,41,2,6.83,3,1,21,2,11.1,58.3,8,85,6
SA20,2,168,2,38,4,6.33,3,2,14,0,13.9,38.9,6,114,7
IPL,1,164,1,51,2,8.5,5,0,18,0,13.9,50.0,8,167,6
T20 World Cup,0,177,2,46,3,7.67,5,2,17,0,19.4,47.2,7,120,9
Super Smash,1,163,1,44,2,7.33,6,1,18,4,19.4,50.0,8,115,7
PSL,1,144,2,31,3,5.17,4,1,12,2,13.9,33.3,7,85,9
T20 Blast,1,161,1,37,3,6.17,4,0,17,2,11.1,47.2,7,108,5
MLC,0,174,2,33,4,5.5,4,2,14,1,16.7,38.9,6,88,10
MLC,1,144,1,30,3,5.0,3,0,15,4,8.3,41.7,7,87,6
MLC,1,159,2,36,4,6.0,5,1,12,3,16.7,33.3,6,85,9
BBL,0,148,1,57,1,9.5,8,3,21,6,30.6,58.3,9,165,5
SA20,1,150,2,48,4,8.0,6,3,10,4,25.0,27.8,6,123,6
Super Smash,0,145,1,20,4,3.33,1,0,15,6,2.8,41.7,6,47,10
BPL,1,162,2,47,1,7.83,4,2,20,2,16.7,55.6,9,136,5
SA20,1,146,1,37,4,6.17,4,1,10,5,13.9,27.8,6,86,8
SA20,1,165,2,47,2,7.83,4,1,16,4,13.9,44.4,8,139,4
ILT20,2,172,1,42,3,7.0,6,1,20,4,19.4,55.6,7,127,9
PSL,2,163,2,65,1,10.83,6,1,21,4,19.4,58.3,9,204,5
ILT20,1,145,1,51,2,8.5,7,0,22,3,19.4,61.1,8,159,8
T20 Blast,0,174,2,47,0,7.83,6,2,22,4,22.2,61.1,10,128,2
BPL,1,170,1,51,3,8.5,7,2,21,2,25.0,58.3,7,130,6
MLC,2,166,2,15,6,2.5,1,0,20,0,2.8,55.6,4,49,10
BBL,2,152,1,26,6,4.33,3,0,15,3,8.3,41.7,4,73,10
SA20,0,153,2,43,2,7.17,4,2,21,5,16.7,58.3,8,116,4
BPL,0,160,1,45,0,7.5,6,0,20,0,16.7,55.6,10,116,3
MLC,0,158,2,50,1,8.33,5,2,16,4,19.4,44.4,9,117,4
T20 Blast,0,161,1,43,3,7.17,3,1,20,1,11.1,55.6,7,101,6
T20 Blast,1,159,2,63,0,10.5,5,2,20,5,19.4,55.6,10,174,4
LPL,1,155,1,43,4,7.17,6,1,18,3,19.4,50.0,6,115,8
T20I,1,178,2,46,1,7.67,3,0,20,6,8.3,55.6,9,141,3
T20 World Cup,1,140,1,24,6,4.0,3,0,19,1,8.3,52.8,4,64,10
BBL,2,171,2,52,2,8.67,6,2,14,1,22.2,38.9,8,165,6
PSL,1,172,1,52,3,8.67,4,1,14,5,13.9,38.9,7,140,8
T20I,2,161,2,30,5,5.0,3,1,18,0,11.1,50.0,5,69,8
Super Smash,2,173,1,42,3,7.0,6,2,15,3,22.2,41.7,7,112,8
